,city,x,y
0,Istanbul,28.9603,41.01
1,Ankara,32.85,39.93
2,İzmir,27.1384,38.4127
3,Bursa,29.0667,40.1833
4,Antalya,30.6956,36.9081
5,Konya,32.4847,37.8714
6,Adana,35.325,37.0
7,Gaziantep,37.3833,37.0667
8,Şanlıurfa,38.7917,37.1583
9,Mersin,34.6167,36.8
10,Diyarbakır,40.2367,37.9108
11,Kayseri,35.4833,38.7333
12,Samsun,36.33,41.2867
13,Tekirdağ,27.5167,40.9833
14,Denizli,29.0878,37.7731
15,Eskişehir,30.5206,39.7767
16,Trabzon,39.7225,41.005
17,Erzurum,41.2756,39.9097
18,Malatya,38.3337,38.3554
19,Batman,41.1333,37.8833
20,Kahramanmaraş,36.9453,37.5875
21,Elazığ,39.2167,38.6667
22,Hatay,36.15,36.2
23,Sivas,37.0167,39.75
24,Kocaeli,29.9406,40.7656
25,Van,43.4167,38.5019
26,Balıkesir,27.8842,39.6511
27,Adıyaman,38.2763,37.7644
28,Afyonkarahisar,30.5386,38.7581
29,Aksaray,34.0297,38.3686
30,Çorum,34.9533,40.5489
31,Kütahya,29.9833,39.4242
32,Osmaniye,36.25,37.075
33,Sakarya,30.4028,40.7778
34,Isparta,30.55,37.7667
35,Uşak,29.4,38.6833
36,Manisa,27.4258,38.6131
37,Düzce,31.1583,40.8417
38,Niğde,34.6792,37.9667
39,Bolu,31.6,40.7333
40,Tokat,36.5542,40.3097
41,Kırıkkale,33.5139,39.8417
42,Karaman,33.2167,37.1833
43,Muş,41.4911,38.7333
44,Aydın,27.8453,37.8481
45,Çanakkale,26.4,40.15
46,Edirne,26.5594,41.6781
47,Siirt,41.9458,37.8417
48,Bingöl,40.5017,38.8861
49,Erzincan,39.4914,39.7464
50,Zonguldak,31.78,41.4304
51,Ordu,37.8833,40.9833
52,Bartın,32.3375,41.6344
53,Kırşehir,34.1608,39.145
54,Ağrı,43.0544,39.7225
55,Amasya,35.8333,40.65
56,Kastamonu,33.7833,41.3833
57,Yalova,29.275,40.6556
58,Nevşehir,34.7122,38.625
59,Rize,40.5167,41.0167
60,Iğdır,44.0333,39.9167
61,Giresun,38.4167,40.9
62,Karabük,32.6333,41.2
63,Kilis,37.1167,36.7167
64,Burdur,30.2833,37.7167
65,Kars,43.0931,40.6069
66,Yozgat,34.8083,39.8208
67,Kırklareli,27.2253,41.7347
68,Çankırı,33.6167,40.6
69,Şırnak,42.4611,37.5164
70,Mardin,40.7378,37.3167
71,Bilecik,29.9792,40.1431
72,Hakkari,43.7408,37.5744
73,Bitlis,42.1167,38.4
74,Bayburt,40.226,40.2546
75,Sinop,35.1511,42.0267
76,Gümüşhane,39.4778,40.4597
77,Muğla,28.3667,37.2167
78,Ardahan,42.7,41.1167
79,Tunceli,39.5481,39.1061
80,Artvin,41.8194,41.1822
